I. Autonomous Republic of Crimea,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Name,,,Center,,,Year,,,"Area
(km²)",,,Population,,Density,Councils (municipalities) ,,,,,,,,
XV. Odessa Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Ananiv,,Ananiv,,,1050,32619,,31,,,,,,,,,,,,,,,,
2,Artsyi,,Artsyz,,,1379,51251,,37,,,,,,,,,,,,,,,,
3,Balta,,Balta,,,1317,48697,,37,,,,,,,,,,,,,,,,
4,Berezivka,,Berezivka,,,1637,36173,,22,,,,,,,,,,,,,,,,
5,Bilhorod-Dnistrovskyi,,Bilhorod-Dnistrovskyi,,,1852,62255,,34,,,,,,,,,,,,,,,,
6,Bilyayivka,,Bilyayivka,,,1497,103988,,69,,,,,,,,,,,,,,,,
7,Bolhrad,,Bolhrad,,,1364,73991,,54,,,,,,,,,,,,,,,,
8,Velyka Mykhailivka,,Velyka Mykhailivka,,,1436,32703,,23,,,,,,,,,,,,,,,,
9,Ivanivka,,Ivanivka,,,1162,29184,,25,,,,,,,,,,,,,,,,
10,Izmail,,Izmail,,,1194,54550,,46,,,,,,,,,,,,,,,,
11,Kiliya,,Kiliya,,,1358,58707,,43,,,,,,,,,,,,,,,,
12,Kodyma,,Kodyma,,,818,34523,,42,,,,,,,,,,,,,,,,
13,Lyman,,Dobroslav,,,1499,67207,,45,,,,,,,,,,,,,,,,
14,Podilsk,,Podilsk,,,1037,30627,,30,,,,,,,,,,,,,,,,
15,Okny,,Okny,,,1013,22872,,23,,,,,,,,,,,,,,,,
16,Liubashivka,,Liubashivka,,,1100,33544,,30,,,,,,,,,,,,,,,,
17,Mykolaivka,,Mykolaivka,,,1093,20158,,18,,,,,,,,,,,,,,,,
18,Ovidiopol,,Ovidiopol,,,829,60294,,73,,,,,,,,,,,,,,,,
19,Reni,,Reni,,,861,39903,,46,,,,,,,,,,,,,,,,
20,Rozdilna,,Rozdilna,,,1368,56727,,41,,,,,,,,,,,,,,,,
21,Savran,,Savran,,,617,22176,,36,,,,,,,,,,,,,,,,
22,Sarata,,Sarata,,,1474,49911,,34,,,,,,,,,,,,,,,,
23,Tarutyne,,Tarutyne,,,1874,45175,,24,,,,,,,,,,,,,,,,
24,Tatarbunary,,Tatarbunary,,,1748,41573,,24,,,,,,,,,,,,,,,,
25,Zakharivka,,Zakharivka,,,956,20944,,22,,,,,,,,,,,,,,,,
26,Shyriaieve,,Shyriaieve,,,1502,29754,,20,,,,,,,,,,,,,,,,
XVI. Poltava Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Velyka Bahachka,,Velyka Bahachka,,,1019,30103,,30,,,,,,,,,,,,,,,,
2,Hadiach,,Hadiach,,,1595,64011,,40,,,,,,,,,,,,,,,,
3,Hlobyne,,Hlobyne,,,2474,58726,,24,,,,,,,,,,,,,,,,
4,Hrebinka,,Hrebinka,,,595,26257,,44,,,,,,,,,,,,,,,,
5,Dykanka,,Dykanka,,,679,21903,,32,,,,,,,,,,,,,,,,
6,Zinkiv,,Zinkiv,,,1361,42308,,31,,,,,,,,,,,,,,,,
7,Karlivka,,Karlivka,,,854,41641,,49,,,,,,,,,,,,,,,,
8,Kobeliaky,,Kobeliaky,,,1823,54091,,30,,,,,,,,,,,,,,,,
9,Kozelshchyna,,Kozelshchyna,,,927,24849,,27,,,,,,,,,,,,,,,,
10,Kotelva,,Kotelva,,,795,21564,,27,,,,,,,,,,,,,,,,
11,Kremenchuk,,Kremenchuk,,,1023,43346,,42,,,,,,,,,,,,,,,,
12,Lokhvytsia,,Lokhvytsia,,,1303,51440,,39,,,,,,,,,,,,,,,,
13,Lubny,,Lubny,,,1375,39970,,29,,,,,,,,,,,,,,,,
14,Mashivka,,Mashivka,,,889,22894,,26,,,,,,,,,,,,,,,,
15,Myrhorod,,Myrhorod,,,1539,41225,,27,,,,,,,,,,,,,,,,
16,Novi Sanzhary,,Novi Sanzhary,,,1272,39995,,31,,,,,,,,,,,,,,,,
17,Orzhytsia,,Orzhytsia,,,980,29525,,30,,,,,,,,,,,,,,,,
18,Pyriatyn,,Pyriatyn,,,863,36467,,42,,,,,,,,,,,,,,,,
19,Poltava,,Poltava,,,1260,66351,,53,,,,,,,,,,,,,,,,
20,Reshetylivka,,Reshetylivka,,,1010,29741,,29,,,,,,,,,,,,,,,,
21,Semenivka,,Semenivka,,,1275,32575,,26,,,,,,,,,,,,,,,,
22,Khorol,,Khorol,,,1062,42169,,40,,,,,,,,,,,,,,,,
23,Chornukhy,,Chornukhy,,,682,16227,,24,,,,,,,,,,,,,,,,
24,Chutove,,Chutove,,,861,26816,,31,,,,,,,,,,,,,,,,
25,Shyshaky,,Shyshaky,,,799,24056,,30,,,,,,,,,,,,,,,,
XVII. Rivne Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Berezne,,Berezne,,,1715,63748,,37,,,,,,,,,,,,,,,,
2,Volodymyrets,,Volodymyrets,,,1949,61714,,32,,,,,,,,,,,,,,,,
3,Hoshcha,,Hoshcha,,,692,38846,,56,,,,,,,,,,,,,,,,
4,Demydivka,,Demydivka,,,377,16483,,44,,,,,,,,,,,,,,,,
5,Dubno,,Dubno,,,1199,48635,,41,,,,,,,,,,,,,,,,
6,Dubrovytsia,,Dubrovytsia,,,1817,50939,,28,,,,,,,,,,,,,,,,
7,Zarichne,,Zarichne,,,1442,36078,,25,,,,,,,,,,,,,,,,
8,Zdolbuniv,,Zdolbuniv,,,659,58805,,89,,,,,,,,,,,,,,,,
9,Korets,,Korets,,,720,39303,,55,,,,,,,,,,,,,,,,
10,Kostopil,,Kostopil,,,1497,65559,,44,,,,,,,,,,,,,,,,
11,Mlyniv,,Mlyniv,,,945,41614,,44,,,,,,,,,,,,,,,,
12,Ostroh,,Ostroh,,,693,31235,,45,,,,,,,,,,,,,,,,
13,Radyvyliv,,Radyvyliv,,,745,40029,,54,,,,,,,,,,,,,,,,
14,Rivne,,Rivne,,,1176,87998,,75,,,,,,,,,,,,,,,,
15,Rokytne,,Rokytne,,,2350,51892,,22,,,,,,,,,,,,,,,,
16,Sarny,,Sarny,,,1972,98836,,50,,,,,,,,,,,,,,,,
XVIII. Sumy Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Bilopillia,,Bilopillia,,,1443,61321,,42,,,,,,,,,,,,,,,,
2,Buryn,,Buryn,,,1104,36933,,33,,,,,,,,,,,,,,,,
3,Velyka Pysarivka,,Velyka Pysarivka,,,831,26997,,32,,,,,,,,,,,,,,,,
4,Hlukhiv,,Hlukhiv,,,1661,31944,,19,,,,,,,,,,,,,,,,
5,Konotop,,Konotop,,,1667,39398,,24,,,,,,,,,,,,,,,,
6,Krasnopillia,,Krasnopillia,,,1351,33978,,25,,,,,,,,,,,,,,,,
7,Krolevets,,Krolevets,,,1284,46789,,36,,,,,,,,,,,,,,,,
8,Lebedyn,,Lebedyn,,,1542,27743,,18,,,,,,,,,,,,,,,,
9,Lypova Dolyna,,Lypova Dolyna,,,882,23342,,26,,,,,,,,,,,,,,,,
10,Nedryhailiv,,Nedryhailiv,,,1036,31231,,30,,,,,,,,,,,,,,,,
11,Okhtyrka,,Okhtyrka,,,1287,31534,,25,,,,,,,,,,,,,,,,
12,Putyvl,,Putyvl,,,1103,34402,,31,,,,,,,,,,,,,,,,
13,Romny,,Romny,,,1859,46254,,25,,,,,,,,,,,,,,,,
14,Seredyna-Buda,,Seredyna-Buda,,,1123,20799,,19,,,,,,,,,,,,,,,,
15,Sumy,,Sumy,,,1855,62701,,34,,,,,,,,,,,,,,,,
16,Trostianets,,Trostianets,,,1048,41977,,40,,,,,,,,,,,,,,,,
17,Shostka,,Shostka,,,1219,24522,,20,,,,,,,,,,,,,,,,
18,Yampil,,Yampil,,,943,30200,,32,,,,,,,,,,,,,,,,
XIX. Ternopil Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Berezhany,,Berezhany,,,661,44813,,68,,,,,,,,,,,,,,,,
2,Borschiv,,Borshchiv,,,1006,75340,,75,,,,,,,,,,,,,,,,
3,Buchach,,Buchach,,,802,64974,,81,,,,,,,,,,,,,,,,
4,Husiatyn,,Husiatyn,,,1016,67074,,66,,,,,,,,,,,,,,,,
5,Zalishchyky,,Zalischyky,,,684,53466,,78,,,,,,,,,,,,,,,,
6,Zbarazh,,Zbarazh,,,863,60308,,70,,,,,,,,,,,,,,,,
7,Zboriv,,Zboriv,,,977,47089,,48,,,,,,,,,,,,,,,,
8,Kozova,,Kozova,,,694,41827,,60,,,,,,,,,,,,,,,,
9,Kremenets,,Kremenets,,,918,73441,,80,,,,,,,,,,,,,,,,
10,Lanivtsi,,Lanivtsi,,,632,33188,,53,,,,,,,,,,,,,,,,
11,Monastyryska,,Monastyryska,,,558,34552,,62,,,,,,,,,,,,,,,,
12,Pidvolochysk,,Pidvolochysk,,,837,46190,,55,,,,,,,,,,,,,,,,
13,Pidhaitsi,,Pidhaitsi,,,496,22951,,46,,,,,,,,,,,,,,,,
14,Terebovlia,,Terebovl,,,1130,70945,,63,,,,,,,,,,,,,,,,
15,Ternopil,,Ternopil,,,749,60991,,81,,,,,,,,,,,,,,,,
16,Chortkiv,,Chortkiv,,,903,80944,,90,,,,,,,,,,,,,,,,
17,Shumsk,,Shumsk,,,838,36568,,44,,,,,,,,,,,,,,,,
XX. Kharkiv Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Balakliia,,Balakliia,,,1986,92595,,47,,,,,,,,,,,,,,,,
2,Barvinkove,,Barvinkove,,,1365,31501,,23,,,,,,,,,,,,,,,,
3,Blyzniuky,,Blyzniuky,,,1380,25695,,19,,,,,,,,,,,,,,,,
4,Bohodukhiv,,Bohodukhiv,,,1160,47456,,41,,,,,,,,,,,,,,,,
5,Borova,,Borova,,,875,21128,,24,,,,,,,,,,,,,,,,
6,Valky,,Valky,,,1011,36531,,36,,,,,,,,,,,,,,,,
7,Velykyi Burluk,,Velykyi Burluk,,,1221,28155,,23,,,,,,,,,,,,,,,,
8,Vovchansk,,Vovchansk,,,1889,54942,,29,,,,,,,,,,,,,,,,
9,Dvorichna,,Dvorichna,,,1112,22267,,20,,,,,,,,,,,,,,,,
10,Derhachi,,Derhachi,,,900,98600,,110,,,,,,,,,,,,,,,,
11,Zachepylivka,,Zachepylivka,,,794,18834,,24,,,,,,,,,,,,,,,,
12,Zmiiv,,Zmiiv,,,1365,81477,,60,,,,,,,,,,,,,,,,
13,Zolochiv,,Zolochiv,,,969,34063,,35,,,,,,,,,,,,,,,,
14,Izium,,Izium,,,1553,22002,,14,,,,,,,,,,,,,,,,
15,Kehychivka,,Kehychivka,,,783,23454,,30,,,,,,,,,,,,,,,,
16,Kolomak,,Kolomak,,,330,9007,,27,,,,,,,,,,,,,,,,
17,Krasnohrad,,Krasnohrad,,,983,49240,,50,,,,,,,,,,,,,,,,
18,Krasnokutsk,,Krasnokutsk,,,1041,33122,,32,,,,,,,,,,,,,,,,
19,Kupiansk,,Kupiansk,,,1280,29581,,23,,,,,,,,,,,,,,,,
20,Lozova,,Lozova,,,1404,34325,,24,,,,,,,,,,,,,,,,
21,Nova Vodolaha,,Nova Vodolaha,,,1183,40794,,34,,,,,,,,,,,,,,,,
22,Pervomaiskyi,,Pervomaiskyi,,,1194,19879,,17,,,,,,,,,,,,,,,,
23,Pechenihy,,Pechenihy,,,467,11824,,25,,,,,,,,,,,,,,,,
24,Sakhnovshchyna,,Sakhnovshchyna,,,1170,26086,,22,,,,,,,,,,,,,,,,
25,Kharkiv,,Kharkiv,,,1403,187086,,133,,,,,,,,,,,,,,,,
26,Chuhuiv,,Chuhuiv,,,1149,50945,,44,,,,,,,,,,,,,,,,
27,Shevchenkove,,Shevchenkove,,,977,23213,,24,,,,,,,,,,,,,,,,
XXI. Kherson Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Beryslav,,Beryslav,,,1721,55915,,32,,,,,,,,,,,,,,,,
2,Bilozerka,,Bilozerka,,,1534,68382,,45,,,,,,,,,,,,,,,,
3,Velyka Lepetyka,,Velyka Lepetykha,,,1000,20660,,21,,,,,,,,,,,,,,,,
4,Velyka Oleksandrivka,,Velyka Oleksandrivka,,,1540,31233,,20,,,,,,,,,,,,,,,,
5,Verkhniy Rohachyk,,Verkhnii Rohachyk,,,915,14290,,16,,,,,,,,,,,,,,,,
6,Vysokopillia,,Vysokopillia,,,701,17920,,26,,,,,,,,,,,,,,,,
7,Henichesk,,Henichesk,,,3008,66291,,22,,,,,,,,,,,,,,,,
8,Holo Prystan,,Hola Prystan,,,3411,64785,,19,,,,,,,,,,,,,,,,
9,Hornostaivka,,Hornostaivka,,,1018,21942,,22,,,,,,,,,,,,,,,,
10,Ivanivka,,Ivanivka,,,1120,17944,,16,,,,,,,,,,,,,,,,
11,Kalanchak,,Kalanchak,,,916,25748,,28,,,,,,,,,,,,,,,,
12,Kakhovka,,Kakhovka,,,1451,40104,,28,,,,,,,,,,,,,,,,
13,Nyzhni Sirohozy,,Nyzhni Sirohozy,,,1209,19697,,16,,,,,,,,,,,,,,,,
14,Novovorontsovka,,Novovorontsovka,,,1005,24595,,24,,,,,,,,,,,,,,,,
15,Novotroitske,,Novotroitske,,,2298,43026,,19,,,,,,,,,,,,,,,,
16,Skadovsk,,Skadovsk,,,1456,50107,,34,,,,,,,,,,,,,,,,
17,Oleshky,,Oleshky,,,1759,72264,,41,,,,,,,,,,,,,,,,
18,Chaplynka,,Chaplynka,,,1722,40194,,23,,,,,,,,,,,,,,,,
XXII. Khmelnytskyi Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Bilohiria,,Bilohiria,,,776,31655,,41,,,,,,,,,,,,,,,,
2,Vinkivtsi,,Vinkivtsi,,,653,31043,,48,,,,,,,,,,,,,,,,
3,Volochysk,,Volochysk,,,1104,60788,,55,,,,,,,,,,,,,,,,
4,Horodok,,Horodok,,,1111,58655,,53,,,,,,,,,,,,,,,,
5,Derazhnia,,Derazhnia,,,916,38149,,42,,,,,,,,,,,,,,,,
6,Dunaivti,,Dunaivtsi,,,1182,73066,,62,,,,,,,,,,,,,,,,
7,Iziaslav,,Iziaslav,,,1253,54199,,43,,,,,,,,,,,,,,,,
8,Kamianets-Podilskyi,,Kamianets-Podilskyi,,,1538,75673,,49,,,,,,,,,,,,,,,,
9,Krasyliv,,Krasyliv,,,1181,61319,,52,,,,,,,,,,,,,,,,
10,Letychiv,,Letychiv,,,951,34440,,36,,,,,,,,,,,,,,,,
11,Nova Ushytsia,,Nova Ushytsia,,,853,36478,,43,,,,,,,,,,,,,,,,
12,Polonne,,Polonne,,,866,51234,,59,,,,,,,,,,,,,,,,
13,Slavuta,,Slavuta,,,1163,37424,,32,,,,,,,,,,,,,,,,
14,Starokostiantyniv,,Starokostiantyniv,,,1250,37199,,30,,,,,,,,,,,,,,,,
15,Stara Syniava,,Stara Syniava,,,662,24950,,38,,,,,,,,,,,,,,,,
16,Teofipol,,Teofipol,,,716,32263,,45,,,,,,,,,,,,,,,,
17,Khmelnytskyi,,Khmelnytskyi,,,1227,54931,,45,,,,,,,,,,,,,,,,
18,Chemerivtsi,,Chemerivtsi,,,928,50949,,55,,,,,,,,,,,,,,,,
19,Shepetika,,Shepetivka,,,1162,40616,,35,,,,,,,,,,,,,,,,
20,Yarmolyntsi,,Yarmolyntsi,,,898,40024,,45,,,,,,,,,,,,,,,,
XXIII. Cherkasy Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Horodysche,,Horodyshche,,,866,49307,,57,,,,,,,,,,,,,,,,
2,Drabiv,,Drabiv,,,1161,42635,,37,,,,,,,,,,,,,,,,
3,Zhashkiv,,Zhashkiv,,,964,45626,,47,,,,,,,,,,,,,,,,
4,Zvenyhorodka,,Zvenyhorodka,,,1010,53685,,53,,,,,,,,,,,,,,,,
5,Zolotonosha,,Zolotonosha,,,1493,48561,,33,,,,,,,,,,,,,,,,
6,Kamianka,,Kamianka,,,725,35447,,49,,,,,,,,,,,,,,,,
7,Kaniv,,Kaniv,,,1283,24703,,19,,,,,,,,,,,,,,,,
8,Katerynopil,,Katerynopil,,,672,28905,,43,,,,,,,,,,,,,,,,
9,Korsun-Shevchenkivskyi,,Korsun-Shevchenkivskyi,,,896,49990,,56,,,,,,,,,,,,,,,,
10,Lysianka,,Lysianka,,,746,28721,,39,,,,,,,,,,,,,,,,
11,Mankivka,,Mankivka,,,765,33112,,43,,,,,,,,,,,,,,,,
12,Monastyrysche,,Monastyryshche,,,719,40587,,56,,,,,,,,,,,,,,,,
13,Smila,,Smila,,,934,38215,,41,,,,,,,,,,,,,,,,
14,Talne,,Talne,,,917,43581,,48,,,,,,,,,,,,,,,,
15,Uman,,Uman,,,1400,51505,,37,,,,,,,,,,,,,,,,
16,Khrystynivka,,Khrystynivka,,,632,39222,,62,,,,,,,,,,,,,,,,
17,Cherkasy,,Cherkasy,,,1609,79061,,49,,,,,,,,,,,,,,,,
18,Chyhyryn,,Chyhyryn,,,1217,36120,,30,,,,,,,,,,,,,,,,
19,Chornobai,,Chornobai,,,1554,49710,,32,,,,,,,,,,,,,,,,
20,Shpola,,Shpola,,,1105,52077,,47,,,,,,,,,,,,,,,,
XXIV. Chernivtsi Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Vyzhnytsia,,Vyzhnytsia,,,904,60005,,66,,,,,,,,,,,,,,,,
2,Hertsa,,Hertsa,,,309,32247,,104,,,,,,,,,,,,,,,,
3,Hlyboka,,Hlyboka,,,674,72682,,108,,,,,,,,,,,,,,,,
4,Zastavna,,Zastavna,,,619,56306,,91,,,,,,,,,,,,,,,,
5,Kelmentsi,,Kelmentsi,,,670,48397,,72,,,,,,,,,,,,,,,,
6,Kitsman,,Kitsman,,,608,72898,,120,,,,,,,,,,,,,,,,
7,Novoselytsia,,Novoselytsia,,,738,87454,,119,,,,,,,,,,,,,,,,
8,Putyla,,Putyla,,,878,25363,,29,,,,,,,,,,,,,,,,
9,Sokyriany,,Sokyriany,,,665,48909,,74,,,,,,,,,,,,,,,,
10,Storozhynets,,Storozhynets,,,1160,95302,,82,,,,,,,,,,,,,,,,
11,Khotyn,,Khotyn,,,716,72291,,101,,,,,,,,,,,,,,,,
XXV. Chernihiv Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Bakhmach,,Bakhmach,,,1488,56507,,38,,,,,,,,,,,,,,,,
2,Bobrovytsia,,Bobrovytsia,,,1418,41184,,29,,,,,,,,,,,,,,,,
3,Borzna,,Borzna,,,1608,43698,,27,,,,,,,,,,,,,,,,
4,Varva,,Varva,,,590,20005,,34,,,,,,,,,,,,,,,,
5,Horodnia,,Horodnia,,,1566,36306,,23,,,,,,,,,,,,,,,,
6,Ichnia,,Ichnia,,,1576,41134,,26,,,,,,,,,,,,,,,,
7,Kozelets,,Kozelets,,,2600,61652,,24,,,,,,,,,,,,,,,,
8,Korop,,Korop,,,1312,32122,,24,,,,,,,,,,,,,,,,
9,Koriukivka,,Koriukivka,,,1424,33676,,24,,,,,,,,,,,,,,,,
10,Kulykivka,,Kulykivka,,,944,22544,,24,,,,,,,,,,,,,,,,
11,Mena,,Mena,,,1377,45592,,33,,,,,,,,,,,,,,,,
12,Nizhyn,,Nizhyn,,,1514,36506,,24,,,,,,,,,,,,,,,,
13,Novhorod-Siverskyi,,Novhorod-Siverskyi,,,1804,36091,,20,,,,,,,,,,,,,,,,
14,Nosivka,,Nosivka,,,1152,37553,,33,,,,,,,,,,,,,,,,
15,Pryluky,,Pryluky,,,1796,45042,,25,,,,,,,,,,,,,,,,
16,Ripky,,Ripky,,,2106,37614,,18,,,,,,,,,,,,,,,,
17,Semenivka,,Semenivka,,,1470,23505,,16,,,,,,,,,,,,,,,,
18,Sosnytsia,,Sosnytsia,,,916,24878,,27,,,,,,,,,,,,,,,,
19,Sribne,,Sribne,,,579,14577,,25,,,,,,,,,,,,,,,,
20,Talalaivka,,Talalaivka,,,633,16726,,26,,,,,,,,,,,,,,,,
21,Chernihiv,,Chernihiv,,,2555,61296,,24,,,,,,,,,,,,,,,,
22,Snovsk,,Snovsk,,,1283,30572,,24,,,,,,,,,,,,,,,,
XXVI. Kyiv,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,Name,,,,Year,"Area
(km²)",Population,Density 
1,,,,,,,,,,,,,,,,,,Holosiiv,,,,,156,202993,1301
2,,,,,,,,,,,,,,,,,,Darnytsia,,,,,134,282359,2107
3,,,,,,,,,,,,,,,,,,Desna,,,,,148,336209,2272
4,,,,,,,,,,,,,,,,,,Dnipro,,,,,67,331618,4950
5,,,,,,,,,,,,,,,,,,Obolon,,,,,110,306173,2783
6,,,,,,,,,,,,,,,,,,Pechersk,,,,,20,131127,6556
7,,,,,,,,,,,,,,,,,,Podil,,,,,34,180424,5307
8,,,,,,,,,,,,,,,,,,Sviatoshyn,,,,,103,315410,3062
9,,,,,,,,,,,,,,,,,,Solomyanka,,,,,40,287801,7195
10,,,,,,,,,,,,,,,,,,Shevchenko,,,,,27,237213,8786
XXVII. Sevastopol,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,Name,,,,Year,"Area
(km²)",Population,Density 
1,,,,,,,,,,,,,,,,,,Balaklava,,,,,469,25719,55
2,,,,,,,,,,,,,,,,,,Gagarin,,,,,65,120842,1859
3,,,,,,,,,,,,,,,,,,Lenin,,,,,19,110949,5839
4,,,,,,,,,,,,,,,,,,Nakhimov,,,,,311,121982,392
